Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark
1,6686,6280,9571,16264,7133,9710,55644,0,0,0,1,0,0,1,2533,2907,734,1861,1607,819,1012,895,82,742,514,99,0,0,0,0,1,0
2,6702,6121,9642,16184,7259,9844,55752,0,0,0,3,0,1,4,2518,2876,783,1813,1576,875,993,865,70,718,482,93,0,0,0,0,2,1.4
3,6649,6016,9691,16135,7320,9920,55731,0,0,0,2,1,0,3,2507,2775,715,1925,1555,851,1044,789,70,775,455,85,1,0,0,0,2,14
4,6602,6224,9791,16270,7347,9655,55889,0,0,1,1,0,0,2,2435,2929,780,1890,1602,878,984,908,71,730,455,80,0,0,0,0,1,14
5,6695,6335,9653,16256,7161,9787,55887,0,1,1,2,0,0,4,2447,2966,795,1922,1594,889,935,857,84,732,496,80,0,0,0,0,4,14
6,6854,6198,9717,16238,7248,9873,56128,5,1,0,1,3,2,12,2461,2956,818,1965,1610,868,967,871,80,783,463,92,5,0,0,0,5,14
7,6850,6211,9723,16216,7404,9754,56158,10,1,2,8,1,2,24,2525,2936,775,1919,1704,912,1028,898,78,751,477,76,2,0,0,0,12,14
8,6746,6281,9712,16248,7216,9939,56142,19,1,4,11,3,0,38,2540,2975,807,1842,1610,868,987,906,88,764,504,84,11,4,1,0.001,15,14.3
9,6670,6276,9751,16360,7471,9866,56394,17,5,6,19,4,4,55,2527,2975,843,1915,1644,876,994,851,90,742,513,64,17,8,1,0.002,23,14.3
10,6682,6138,9938,16496,7345,10082,56681,22,7,4,31,6,13,83,2451,2898,786,1937,1613,900,967,889,78,757,470,77,21,6,1,0.002,35,19.2
1,6666,6361,9691,16269,7210,9778,55975,0,1,0,0,0,0,1,2453,2987,767,1954,1560,911,987,874,67,757,477,113,0,0,0,0,1,0
2,6769,6255,9700,16202,7255,9808,55989,1,0,0,0,0,0,1,2525,2929,769,1959,1622,849,1030,868,75,821,465,85,0,0,0,0,1,3.2
3,6757,6176,9724,15995,7315,9662,55629,1,0,0,0,0,0,1,2542,2874,751,1892,1601,906,967,866,73,764,467,84,0,0,0,0,1,3.2
4,6704,6268,9769,16073,7135,9565,55514,0,0,0,0,0,0,0,2425,2939,726,1910,1552,874,990,869,70,777,430,78,0,0,0,0,0,3.2
