Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark
1,6646,6278,9746,16322,7116,9636,55744,0,0,0,1,0,1,2,2491,2980,825,1939,1582,866,979,891,80,744,476,99,0,0,0,0,1,0
2,6654,6203,9794,16125,7160,9557,55493,0,0,0,3,1,0,4,2514,2947,787,1838,1544,884,989,869,87,706,467,110,0,0,0,0,2,4.2
3,6557,6255,9616,16057,7106,9708,55299,0,1,0,4,0,1,6,2475,2999,792,1891,1541,931,974,909,76,758,464,90,2,1,1,0,3,7.6
4,6539,6096,9643,16086,7197,9722,55283,0,1,2,6,1,0,10,2461,2830,803,1958,1568,914,987,826,86,755,500,97,0,0,1,0,7,12.5
5,6547,6124,9664,16124,7229,9899,55587,5,4,3,6,4,1,23,2460,2875,795,1896,1557,918,1015,798,82,761,486,88,5,3,1,0.001,12,29.1
6,6586,6128,9509,16186,7375,9775,55559,9,2,3,9,2,6,31,2415,2911,782,1952,1606,882,987,894,79,806,479,94,11,8,1,0.002,13,29.1
7,6565,6133,9778,16320,7233,9716,55745,4,0,0,4,3,2,13,2385,2901,783,1863,1575,875,931,896,83,733,490,87,3,2,1,0.001,8,29.1
8,6641,6297,9888,16354,7185,9878,56243,7,1,1,4,0,2,15,2506,2970,793,1969,1607,886,1006,895,82,748,474,90,3,0,1,0,9,29.1
9,6682,6247,9816,16371,7389,9819,56324,1,1,3,1,1,2,9,2471,2950,771,1953,1596,859,961,891,77,796,493,71,0,0,1,0,5,29.1
10,6699,6205,9903,16577,7322,10137,56843,9,1,3,6,1,2,22,2475,2886,752,1991,1666,902,961,823,80,789,488,86,4,1,1,0,12,29.1
11,6703,6352,9671,16520,7566,10051,56863,17,1,2,3,4,5,32,2451,3057,769,1957,1680,911,967,952,72,824,524,101,6,3,1,0.001,16,29.1
12,6754,6230,9926,16539,7420,9964,56833,11,1,1,6,7,0,26,2592,2915,810,1931,1618,849,1024,884,79,702,442,93,5,1,1,0,17,29.1
13,6638,6408,9919,16693,7480,10050,57188,8,1,4,12,3,4,32,2439,3041,807,1933,1702,938,1005,874,86,799,524,95,4,1,1,0,15,30
14,6710,6372,10089,16820,7418,10078,57487,11,4,4,18,7,9,53,2432,3022,798,1965,1643,892,970,906,78,801,466,75,11,6,1,0.002,24,30
15,6767,6361,10010,16898,7429,10214,57679,14,3,5,22,5,11,60,2523,2988,830,1947,1642,937,1027,918,89,804,463,82,11,6,1,0.002,25,30.4
16,6791,6356,10079,16944,7594,10198,57962,14,9,9,25,10,6,73,2466,2932,784,1979,1644,959,1000,850,65,813,493,88,19,6,1,0.002,34,30.9
17,6918,6455,10238,16938,7519,10182,58250,23,12,11,34,10,13,103,2546,3021,820,1989,1593,927,994,881,92,798,482,96,23,6,1,0.002,46,30.9
